table_source,model_name,modality,feature_strategy,fusion_method,dataset,calibration_method,n_samples,auroc,auprc,balanced_accuracy,sensitivity,specificity,f1,brier,ece,nll
metadata_baseline_metrics,metadata_logistic_regression,metadata,,,,,2862,0.936,0.922,0.891,0.847,0.934,0.854,0.074,0.075,0.269
cross_dataset_metrics,logistic_regression,cough,,,,,8331,0.529,0.043,0.523,0.232,0.814,0.071,0.151,0.280,0.472
external_model_grid_metrics,logistic_regression,cough,all,,,platt,8331,0.510,0.038,0.513,0.316,0.710,0.067,0.085,0.202,0.323
external_model_grid_metrics,logistic_regression,cough,drop_high_shift,,,platt,8331,0.483,0.036,0.491,0.298,0.684,0.058,0.119,0.271,0.409
external_model_grid_metrics,logistic_regression,cough,top_stable_50,,,platt,8331,0.535,0.042,0.532,0.495,0.569,0.072,0.115,0.285,0.411
external_model_grid_metrics,logistic_regression,cough,top_stable_80,,,platt,8331,0.518,0.039,0.495,0.232,0.759,0.058,0.111,0.261,0.392
external_model_grid_metrics,logistic_regression,cough,top_stable_120,,,platt,8331,0.516,0.037,0.517,0.484,0.549,0.068,0.110,0.258,0.389
external_model_grid_metrics,random_forest,cough,all,,,platt,8331,0.524,0.039,0.508,0.270,0.747,0.064,0.102,0.251,0.374
external_model_grid_metrics,random_forest,cough,drop_high_shift,,,platt,8331,0.519,0.037,0.496,0.161,0.830,0.054,0.112,0.269,0.398
external_model_grid_metrics,random_forest,cough,top_stable_50,,,platt,8331,0.498,0.036,0.498,0.512,0.485,0.064,0.117,0.285,0.414
external_model_grid_metrics,random_forest,cough,top_stable_80,,,platt,8331,0.490,0.034,0.488,0.242,0.733,0.055,0.110,0.269,0.396
external_model_grid_metrics,random_forest,cough,top_stable_120,,,platt,8331,0.489,0.034,0.493,0.474,0.513,0.062,0.112,0.274,0.401
external_model_grid_metrics,xgboost,cough,all,,,platt,8331,0.508,0.037,0.505,0.344,0.667,0.064,0.106,0.231,0.369
external_model_grid_metrics,xgboost,cough,drop_high_shift,,,platt,8331,0.500,0.039,0.517,0.291,0.742,0.068,0.119,0.264,0.406
external_model_grid_metrics,xgboost,cough,top_stable_50,,,platt,8331,0.484,0.036,0.473,0.635,0.310,0.060,0.120,0.286,0.419
external_model_grid_metrics,xgboost,cough,top_stable_80,,,platt,8331,0.480,0.042,0.485,0.382,0.587,0.059,0.113,0.264,0.397
external_model_grid_metrics,xgboost,cough,top_stable_120,,,platt,8331,0.484,0.042,0.497,0.516,0.478,0.063,0.116,0.268,0.403
external_model_grid_metrics,lightgbm,cough,all,,,platt,8331,0.518,0.039,0.499,0.228,0.770,0.059,0.099,0.215,0.352
external_model_grid_metrics,lightgbm,cough,drop_high_shift,,,platt,8331,0.516,0.038,0.520,0.351,0.689,0.069,0.116,0.256,0.397
external_model_grid_metrics,lightgbm,cough,top_stable_50,,,platt,8331,0.498,0.040,0.507,0.544,0.470,0.066,0.119,0.280,0.414
external_model_grid_metrics,lightgbm,cough,top_stable_80,,,platt,8331,0.495,0.041,0.488,0.337,0.639,0.058,0.114,0.263,0.397
external_model_grid_metrics,lightgbm,cough,top_stable_120,,,platt,8331,0.496,0.042,0.504,0.453,0.555,0.065,0.115,0.266,0.401
external_model_grid_metrics,catboost,cough,all,,,platt,8331,0.526,0.039,0.517,0.260,0.775,0.068,0.104,0.231,0.365
external_model_grid_metrics,catboost,cough,drop_high_shift,,,platt,8331,0.514,0.041,0.525,0.351,0.699,0.071,0.119,0.263,0.403
external_model_grid_metrics,catboost,cough,top_stable_50,,,platt,8331,0.486,0.037,0.505,0.333,0.676,0.064,0.121,0.286,0.420
external_model_grid_metrics,catboost,cough,top_stable_80,,,platt,8331,0.488,0.042,0.485,0.453,0.518,0.060,0.116,0.268,0.403
external_model_grid_metrics,catboost,cough,top_stable_120,,,platt,8331,0.488,0.044,0.480,0.481,0.478,0.059,0.117,0.271,0.406
coughvid_internal_metrics,logistic_regression,cough,all,,coughvid,platt,1667,0.714,0.138,0.617,0.439,0.796,0.122,0.032,0.006,0.139
coughvid_internal_metrics,random_forest,cough,all,,coughvid,platt,1667,0.767,0.120,0.715,0.649,0.781,0.166,0.033,0.000,0.148
coughvid_internal_metrics,xgboost,cough,all,,coughvid,platt,1667,0.754,0.138,0.686,0.667,0.704,0.133,0.032,0.003,0.139
coughvid_internal_metrics,lightgbm,cough,all,,coughvid,platt,1667,0.781,0.178,0.698,0.561,0.834,0.180,0.033,0.000,0.147
coughvid_internal_metrics,catboost,cough,all,,coughvid,platt,1667,0.752,0.134,0.679,0.772,0.587,0.115,0.032,0.001,0.142
