feature,comparison_type,known_value,unknown_value,difference_unknown_minus_known,abs_difference,smd_unknown_vs_known
recording_year,numeric_smd_unknown_vs_known,2020.5227607232969,2021.007911392405,0.4851506691081795,0.6418082222023133,0.6418082222023133
duration_sec,numeric_smd_unknown_vs_known,10.059407314444911,9.165441159018988,-0.8939661554259235,0.14650023609869703,-0.14650023609869703
recording_month,numeric_smd_unknown_vs_known,5.124053826745164,4.841772151898734,-0.28228167484642963,0.10587152413156166,-0.10587152413156166
gender_female,categorical_proportion_difference,0.29851766190075696,0.3370253164556962,0.038507654554939263,0.038507654554939263,
gender_male,categorical_proportion_difference,0.7005361648444071,0.6629746835443038,-0.03756148130010328,0.03756148130010328,
age,numeric_smd_unknown_vs_known,35.24201009251472,34.86708860759494,-0.3749214849197813,0.026197120709248713,-0.026197120709248713
sample_rate_original,numeric_smd_unknown_vs_known,47702.70558727787,47773.67006985492,70.96448257704469,0.01949224131696132,0.01949224131696132
country_India,categorical_proportion_difference,0.9143713204373423,0.9208860759493671,0.00651475551202485,0.00651475551202485,
country_United States,categorical_proportion_difference,0.03264297729184188,0.028481012658227847,-0.004161964633614033,0.004161964633614033,
quality_flag_short,categorical_proportion_difference,0.008410428931875526,0.004571026722925457,-0.0038394022089500686,0.0038394022089500686,
quality_flag_corrupt,categorical_proportion_difference,0.01498107653490328,0.018459915611814346,0.0034788390769110653,0.0034788390769110653,
quality_flag_ok,categorical_proportion_difference,0.9517451640033642,0.955168776371308,0.0034236123679438624,0.0034236123679438624,
country_Germany,categorical_proportion_difference,0.003311606391925988,0.0,-0.003311606391925988,0.003311606391925988,
country_Russia,categorical_proportion_difference,0.0,0.0031645569620253164,0.0031645569620253164,0.0031645569620253164,
quality_flag_mostly_silence,categorical_proportion_difference,0.024863330529857022,0.02180028129395218,-0.0030630492359048425,0.0030630492359048425,
country_United Arab Emirates,categorical_proportion_difference,0.0004730866274179983,0.0031645569620253164,0.002691470334607318,0.002691470334607318,
country_United Kingdom,categorical_proportion_difference,0.003311606391925988,0.0015822784810126582,-0.00172932791091333,0.00172932791091333,
country_Belgium,categorical_proportion_difference,0.0,0.0015822784810126582,0.0015822784810126582,0.0015822784810126582,
country_Korea South,categorical_proportion_difference,0.0,0.0015822784810126582,0.0015822784810126582,0.0015822784810126582,
country_Mozambique,categorical_proportion_difference,0.0,0.0015822784810126582,0.0015822784810126582,0.0015822784810126582,
country_Peru,categorical_proportion_difference,0.0,0.0015822784810126582,0.0015822784810126582,0.0015822784810126582,
country_Sri Lanka,categorical_proportion_difference,0.0,0.0015822784810126582,0.0015822784810126582,0.0015822784810126582,
country_Sweden,categorical_proportion_difference,0.0,0.0015822784810126582,0.0015822784810126582,0.0015822784810126582,
country_Ukraine,categorical_proportion_difference,0.0,0.0015822784810126582,0.0015822784810126582,0.0015822784810126582,
country_Australia,categorical_proportion_difference,0.0014192598822539949,0.0,-0.0014192598822539949,0.0014192598822539949,
country_Finland,categorical_proportion_difference,0.0014192598822539949,0.0,-0.0014192598822539949,0.0014192598822539949,
country_Malaysia,categorical_proportion_difference,0.0014192598822539949,0.0,-0.0014192598822539949,0.0014192598822539949,
country_Saudi Arabia,categorical_proportion_difference,0.0014192598822539949,0.0,-0.0014192598822539949,0.0014192598822539949,
country_Singapore,categorical_proportion_difference,0.0014192598822539949,0.0,-0.0014192598822539949,0.0014192598822539949,
country_Brazil,categorical_proportion_difference,0.0004730866274179983,0.0015822784810126582,0.0011091918535946598,0.0011091918535946598,
country_Hungary,categorical_proportion_difference,0.0004730866274179983,0.0015822784810126582,0.0011091918535946598,0.0011091918535946598,
country_Indonesia,categorical_proportion_difference,0.0004730866274179983,0.0015822784810126582,0.0011091918535946598,0.0011091918535946598,
country_Italy,categorical_proportion_difference,0.0004730866274179983,0.0015822784810126582,0.0011091918535946598,0.0011091918535946598,
country_Pakistan,categorical_proportion_difference,0.0004730866274179983,0.0015822784810126582,0.0011091918535946598,0.0011091918535946598,
country_Thailand,categorical_proportion_difference,0.0004730866274179983,0.0015822784810126582,0.0011091918535946598,0.0011091918535946598,
country_Bangladesh,categorical_proportion_difference,0.0009461732548359966,0.0,-0.0009461732548359966,0.0009461732548359966,
country_Greece,categorical_proportion_difference,0.0009461732548359966,0.0,-0.0009461732548359966,0.0009461732548359966,
country_Israel,categorical_proportion_difference,0.0009461732548359966,0.0,-0.0009461732548359966,0.0009461732548359966,
country_Oman,categorical_proportion_difference,0.0009461732548359966,0.0,-0.0009461732548359966,0.0009461732548359966,
country_Portugal,categorical_proportion_difference,0.0009461732548359966,0.0,-0.0009461732548359966,0.0009461732548359966,
country_Switzerland,categorical_proportion_difference,0.0009461732548359966,0.0,-0.0009461732548359966,0.0009461732548359966,
gender_other,categorical_proportion_difference,0.0009461732548359966,0.0,-0.0009461732548359966,0.0009461732548359966,
country_Canada,categorical_proportion_difference,0.0056770395290159795,0.004746835443037975,-0.0009302040859780047,0.0009302040859780047,
country_Netherlands The,categorical_proportion_difference,0.0023654331370899914,0.0031645569620253164,0.000799123824935325,0.000799123824935325,
country_China,categorical_proportion_difference,0.0023654331370899914,0.0015822784810126582,-0.0007831546560773332,0.0007831546560773332,
country_France,categorical_proportion_difference,0.007096299411269975,0.006329113924050633,-0.0007671854872193422,0.0007671854872193422,
country_Romania,categorical_proportion_difference,0.0009461732548359966,0.0015822784810126582,0.0006361052261766616,0.0006361052261766616,
country_Argentina,categorical_proportion_difference,0.0004730866274179983,0.0,-0.0004730866274179983,0.0004730866274179983,
country_Ecuador,categorical_proportion_difference,0.0004730866274179983,0.0,-0.0004730866274179983,0.0004730866274179983,
country_Egypt,categorical_proportion_difference,0.0004730866274179983,0.0,-0.0004730866274179983,0.0004730866274179983,
country_Iran,categorical_proportion_difference,0.0004730866274179983,0.0,-0.0004730866274179983,0.0004730866274179983,
country_Iraq,categorical_proportion_difference,0.0004730866274179983,0.0,-0.0004730866274179983,0.0004730866274179983,
country_Ireland,categorical_proportion_difference,0.0004730866274179983,0.0,-0.0004730866274179983,0.0004730866274179983,
country_Mexico,categorical_proportion_difference,0.0004730866274179983,0.0,-0.0004730866274179983,0.0004730866274179983,
country_Norway,categorical_proportion_difference,0.0004730866274179983,0.0,-0.0004730866274179983,0.0004730866274179983,
country_Philippines,categorical_proportion_difference,0.0004730866274179983,0.0,-0.0004730866274179983,0.0004730866274179983,
country_Qatar,categorical_proportion_difference,0.0004730866274179983,0.0,-0.0004730866274179983,0.0004730866274179983,
country_South Africa,categorical_proportion_difference,0.0004730866274179983,0.0,-0.0004730866274179983,0.0004730866274179983,
country_Spain,categorical_proportion_difference,0.0004730866274179983,0.0,-0.0004730866274179983,0.0004730866274179983,
country_Syria,categorical_proportion_difference,0.0004730866274179983,0.0,-0.0004730866274179983,0.0004730866274179983,
country_Turkey,categorical_proportion_difference,0.0004730866274179983,0.0,-0.0004730866274179983,0.0004730866274179983,
country_Bahrain,categorical_proportion_difference,0.0018923465096719932,0.0015822784810126582,-0.00031006802865933504,0.00031006802865933504,
