feature,source_mean,external_mean,source_std,external_std,standardized_mean_difference,abs_standardized_mean_difference,ks_statistic,n_source,n_external
active_audio_ratio,0.6378288054123046,0.4091383214395984,0.17649629500256395,0.22204324661125568,-1.1401247268302723,1.1401247268302723,0.4390226625448286,4094,8331
event_start_sec,1.0962589154860771,2.371036850318089,0.6697838085223228,1.528668572271803,1.0801209231451352,1.0801209231451352,0.46188651435005607,4094,8331
event_end_sec,4.813498526807523,5.796077057826191,2.2872942907019254,2.07976462808155,0.44944602863219785,0.44944602863219785,0.24435515124498658,4094,8331
panns_cnn14_dim_0474,0.3949987414221561,0.4857492014406223,0.23180123651290882,0.21234622140252735,0.40822036864473993,0.40822036864473993,0.19947096667281783,4094,8331
panns_cnn14_dim_0449,0.001328813871637194,0.005297346798766338,0.005988106446154817,0.013380395114381284,0.38282817832052635,0.38282817832052635,0.11849381334345666,4094,8331
panns_cnn14_dim_0679,0.46995655925872565,0.40352708680255406,0.1871405626600925,0.17410590808670778,-0.3675057408336314,0.3675057408336314,0.1556292918832124,4094,8331
panns_cnn14_dim_1988,0.9596367032864528,1.0661492751127188,0.3007631353310277,0.27937396916433654,0.36691435054715477,0.36691435054715477,0.1442443063344498,4094,8331
panns_cnn14_dim_1431,0.27388431101265803,0.3237163227312191,0.13041010045647353,0.14280002153239552,0.36438221747504074,0.36438221747504074,0.16806921863866875,4094,8331
panns_cnn14_dim_0139,0.13858457114210815,0.208533868131024,0.18378762919907465,0.20362644289771098,0.36060446629481935,0.36060446629481935,0.1860986244687839,4094,8331
panns_cnn14_dim_0148,0.5609351599804646,0.4799658353267748,0.2394322834011789,0.22752424767118073,-0.3466511493802917,0.3466511493802917,0.16310866993906314,4094,8331
panns_cnn14_dim_0080,0.0024199336849091107,0.006921905210386323,0.008965169769845566,0.016550341693214416,0.33822622947846637,0.33822622947846637,0.1030000075644043,4094,8331
panns_cnn14_dim_1898,0.40551013502046196,0.3285930266100996,0.24006422448838777,0.2226814562298679,-0.3321725991664269,0.3321725991664269,0.16881454701796234,4094,8331
panns_cnn14_dim_1651,0.0004106855206919467,0.002106463171625751,0.0028067202366306387,0.006742692409286119,0.32833782612217444,0.32833782612217444,0.08371171480530426,4094,8331
panns_cnn14_dim_0257,0.0008735626321295034,0.002872677800286827,0.003797752557778249,0.007918966524389625,0.32188572329162,0.32188572329162,0.08661829318071301,4094,8331
panns_cnn14_dim_1095,0.00031138573758191163,0.0018819155733370097,0.002462308079437295,0.006451196746184284,0.3216321597306084,0.3216321597306084,0.0811993943550896,4094,8331
panns_cnn14_dim_0789,0.032752275659826004,0.05720420103319378,0.06531719745759292,0.08561054185789972,0.3211051742895943,0.3211051742895943,0.14027715742821278,4094,8331
panns_cnn14_dim_0684,0.0038105556378518622,0.008986275407624608,0.013066236269038438,0.01984868421970564,0.30799514202740014,0.30799514202740014,0.10133009201540766,4094,8331
panns_cnn14_dim_2012,0.44882568469499456,0.3753104161570845,0.2522445477699377,0.22904741329897407,-0.3051084465412746,0.3051084465412746,0.1395903212450048,4094,8331
panns_cnn14_dim_0411,1.0743063962861392,1.315119247257087,0.7208507364827551,0.8523923675534036,0.30504486770458605,0.30504486770458605,0.157169439783149,4094,8331
panns_cnn14_dim_1922,1.0424336227167508,1.17897647801331,0.4519702405227459,0.45719636958318977,0.3003370574429938,0.3003370574429938,0.11791924112957786,4094,8331
panns_cnn14_dim_0370,0.20236964211865174,0.23585286407020825,0.11554909875299377,0.10770199164999016,0.2997471283598574,0.2997471283598574,0.12637991006802862,4094,8331
panns_cnn14_dim_1761,0.10586649358534615,0.058276793762438724,0.18324831128802374,0.1338900633691486,-0.2965195399426589,0.2965195399426589,0.13578478085246382,4094,8331
panns_cnn14_dim_0913,0.03365763835972931,0.0435132585285255,0.03199966820630683,0.034835758614044574,0.29463081081681397,0.29463081081681397,0.13435994613909585,4094,8331
panns_cnn14_dim_0990,0.0018535414291500217,0.004759804653956254,0.007923410388216551,0.011630874332002227,0.29202463681608587,0.29202463681608587,0.10086875131094353,4094,8331
panns_cnn14_dim_1357,0.33887280419498,0.39094068168477697,0.18097325707662795,0.18361437417571513,0.28559275262947975,0.28559275262947975,0.11959079856478033,4094,8331
panns_cnn14_dim_0416,0.292731543295868,0.21583941387480554,0.2988615827419121,0.24903870752146853,-0.27949892987435365,0.27949892987435365,0.14626142217720328,4094,8331
panns_cnn14_dim_1758,0.0036354252129509237,0.010549007090732632,0.01714492601982541,0.030698390747332317,0.27804604524448945,0.27804604524448945,0.09772536016972888,4094,8331
panns_cnn14_dim_1723,0.4940293773055135,0.5686807306806461,0.27975145516834987,0.26090511856175014,0.27595737311803303,0.27595737311803303,0.12503022096797756,4094,8331
panns_cnn14_dim_0537,0.002630767568993197,0.00613157707442578,0.010114429456158518,0.014848808406787092,0.27554316001285506,0.27554316001285506,0.09684739084051497,4094,8331
panns_cnn14_dim_0929,1.4983496010216144,1.5987303315298194,0.3593638305103918,0.3716472966432593,0.2745718135728001,0.2745718135728001,0.11096318498246438,4094,8331
panns_cnn14_dim_0740,0.0038386113441430457,0.008556157501903824,0.015277423078492476,0.018904363160602414,0.27446282016608625,0.27446282016608625,0.11325534608410426,4094,8331
panns_cnn14_dim_2046,0.5050130570639502,0.4284598613118742,0.28913033217490847,0.26846008666048227,-0.2743716633644007,0.2743716633644007,0.10054230914993273,4094,8331
panns_cnn14_dim_1010,0.7422464989384151,0.8059149925311836,0.24130547894555893,0.22326058416316627,0.2738666278002822,0.2738666278002822,0.14405176585741025,4094,8331
panns_cnn14_dim_1676,0.34654772224138586,0.2834093030504127,0.23615048766754462,0.22695663898324284,-0.2725941786978093,0.2725941786978093,0.10954996075012385,4094,8331
panns_cnn14_dim_1950,0.009123312601019782,0.014577880248207368,0.01762374763040254,0.02215167366154027,0.27248531151329447,0.27248531151329447,0.1264118095714577,4094,8331
panns_cnn14_dim_1370,1.2028671430781461,1.4533679188406778,0.8597005614145247,0.9952845059396886,0.26934198699103723,0.26934198699103723,0.15664040059208761,4094,8331
panns_cnn14_dim_0842,0.0002540041356787448,0.001382687761811749,0.0023382737381188027,0.005513533464464705,0.2665091275504898,0.2665091275504898,0.06533554847238021,4094,8331
panns_cnn14_dim_1464,0.0006103226752350251,0.0019493856495924797,0.00364680665582907,0.006101920751147806,0.2663770818170743,0.2663770818170743,0.08523969515567931,4094,8331
